PATH_LIST	PARAMETERS	DIRECTION	BENIGN_SC	PATHOGENIC_SC	INTERSECTION	UNION	MINIMUM	ONE_OVERLAP	RANK_BENIGN_SC	RANK_ONE_OVERLAP	AVG_RANKED_SCORES
Primary_CNVs_hg19.BED	3_B_USLB	GAIN	33947071	47081806	3696025	77332852	33947071	0.8911238910714859	0.21750029279804795	0.8227916365270176	0.5201459646625328
Primary_CNVs_hg19.BED	4_ALL	GAIN	50134610	47081806	8541146	88675270	47081806	0.8185892444312778	0.32983494517585993	0.6976009606478534	0.5137179529118566
Primary_CNVs_hg19.BED	4_B	GAIN	5724442	47081806	372944	52433304	5724442	0.9348505932980018	0.02164722224155665	0.8982614383288777	0.4599543302852172
Primary_CNVs_hg19.BED	4_B_USLB	GAIN	31778861	47081806	2667017	76193650	31778861	0.9160757523688468	0.2024538353574144	0.8658571303972004	0.5341554828773074
Primary_CNVs_hg19.BED	5_ALL	GAIN	41349629	47081806	6776630	81654805	41349629	0.8361138862938771	0.2688709044541243	0.7278474960752823	0.4983592002647033
Primary_CNVs_hg19.BED	5_B	GAIN	4937830	47081806	308094	51711542	4937830	0.937605385361586	0.016188468716625194	0.9030160527968759	0.45960226075675054
Primary_CNVs_hg19.BED	5_B_USLB	GAIN	29297489	47081806	1365453	75013842	29297489	0.9533935143725116	0.18523416650966454	0.9302654657780866	0.5577498161438755
Primary_CNVs_hg19.BED	6_ALL	GAIN	37756641	47081806	5289544	79548903	37756641	0.8599042748532636	0.243937092218821	0.7689083540394894	0.5064227231291553
Primary_CNVs_hg19.BED	6_B	GAIN	4371183	47081806	297391	51155598	4371183	0.9319655571500896	0.012256178961775492	0.8932820299768318	0.45276910446930363
Primary_CNVs_hg19.BED	6_B_USLB	GAIN	27494892	47081806	735343	73841355	27494892	0.9732552868365513	0.17272490816148162	0.9645457557375189	0.5686353319495002
Primary_CNVs_hg19.BED	7_ALL	GAIN	33913497	47081806	4435485	76559818	33913497	0.8692118067328769	0.21726730348330822	0.7849726248500367	0.5011199641666725
Primary_CNVs_hg19.BED	7_B	GAIN	3585775	47081806	215262	50452319	3585775	0.9399677893900202	0.0068057806859935744	0.9070934278268578	0.45694960425642567
Primary_CNVs_hg19.BED	7_B_USLB	GAIN	26391142	47081806	304640	73168308	26391142	0.988456732944713	0.1650653514764284	0.9907825873865549	0.5779239694314916
Primary_CNVs_hg19.BED	8_ALL	GAIN	32411697	47081806	4127486	75366017	32411697	0.8726544308988202	0.2068454486886419	0.7909143984175042	0.4988799235530731
Primary_CNVs_hg19.BED	8_B	GAIN	3321914	47081806	158809	50244911	3321914	0.9521935245764942	0.004974697300738914	0.9281943516199561	0.46658452446034754
Primary_CNVs_hg19.BED	8_B_USLB	GAIN	26107484	47081806	200851	72988439	26107484	0.9923067653704202	0.16309688531093	0.9974275244456926	0.5802622048783113
Primary_CNVs_hg19.BED	9_ALL	GAIN	31831966	47081806	4039294	74874478	31831966	0.8731057327718935	0.20282236152526018	0.7916933197900151	0.4972578406576377
Primary_CNVs_hg19.BED	9_B	GAIN	2780053	47081806	158809	49703050	2780053	0.9428755494949197	0.0012144118693281504	0.9121120564366102	0.45666323415296917
Primary_CNVs_hg19.BED	9_B_USLB	GAIN	25602960	47081806	158809	72525957	25602960	0.993797240631552	0.15959570281763916	1.0	0.5797978514088196
Primary_CNVs_hg19.BED	10_ALL	LOSS	2499669	47081806	797322	48784153	2499669	0.6810289682353944	0.015071779088350275	0.2965983786082939	0.1558350788483221
Primary_CNVs_hg19.BED	10_B	LOSS	1239613	47081806	0	48321419	1239613	1.0	0.0	1.0	0.5
Primary_CNVs_hg19.BED	10_B_USLB	LOSS	1239613	47081806	0	48321419	1239613	1.0	0.0	1.0	0.5
Primary_CNVs_hg19.BED	1_ALL	LOSS	84843280	47081806	21350153	110574933	47081806	0.5465307129467378	1.0	0.0	0.5
Primary_CNVs_hg19.BED	1_B	LOSS	12395089	47081806	1685694	57791201	12395089	0.8640030741207263	0.13343285528372817	0.7000967215155628	0.4167647883996455
Primary_CNVs_hg19.BED	1_B_USLB	LOSS	26057826	47081806	4673125	68466507	26057826	0.82066328173348	0.29685555539088976	0.6045229006976695	0.4506892280442796
Primary_CNVs_hg19.BED	2_ALL	LOSS	35313265	47081806	7651650	74743421	35313265	0.7833208002715127	0.4075616922401263	0.52217447594629	0.4648680840932081
Primary_CNVs_hg19.BED	2_B	LOSS	4080662	47081806	76098	51086370	4080662	0.9813515552133453	0.03398234912351392	0.9588760577197274	0.49642920342162067
Primary_CNVs_hg19.BED	2_B_USLB	LOSS	7974447	47081806	809533	54246720	7974447	0.8984841205916849	0.08055668180200756	0.77613504970097	0.4283458657514888
Primary_CNVs_hg19.BED	3_ALL	LOSS	18791243	47081806	4119628	61753421	18791243	0.7807687336063931	0.2099385186058884	0.5165466049129428	0.3632425617594156
Primary_CNVs_hg19.BED	3_B	LOSS	3102635	47081806	25489	50158952	3102635	0.9917847249193025	0.022283974696947203	0.9818835027746154	0.5020837387357813
Primary_CNVs_hg19.BED	3_B_USLB	LOSS	4952525	47081806	531947	51502384	4952525	0.8925907491633056	0.04441087494403804	0.7631388631969718	0.4037748690705049
Primary_CNVs_hg19.BED	4_ALL	LOSS	13470067	47081806	3360928	57190945	13470067	0.7504891401059847	0.1462908798007628	0.44977340909813573	0.29803214444944925
Primary_CNVs_hg19.BED	4_B	LOSS	2827418	47081806	25489	49883735	2827418	0.9909850612820602	0.01899204971475713	0.9801200677194243	0.4995560587170907
